seller_name,Count_of_favs,total_sales,total_shop_reviews,shop_rating,years_active_with_Etsy,seller_return_policy,seller_return_time,seller_shipping_time,seller_responsivess
HillhomeTreasures,"421 Admirers","8,732 sales","(1621)","4.9541","On Etsy since 2016","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within a few hours."
VarietyCompany,"77 Admirers","139 sales","(28)","4.963","On Etsy since 2018","I gladly accept returns","14 days of delivery","1–2 business days","within 24 hours."
CopperAndTin,"10099 Admirers","4,550 sales","(1477)","4.9462","On Etsy since 2010","","","1–3 business days","within 24 hours."
BlackDawgMercantile,"31 Admirers","146 sales","(35)","4.9714","On Etsy since 2019","I gladly accept returns","3 days of delivery","3–5 business days","within a few hours."
GreatValueBoutique,"10 Admirers","","","","On Etsy since 2018","I gladly accept cancellations","24 hours of purchase","1–2 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
SpottedDog1,"1814 Admirers","9,513 sales","(2116)","4.9618","On Etsy since 2013","I gladly accept cancellations","24 hours of purchase","1 business day","within a few hours."
CaribooCollectibles,"805 Admirers","2,511 sales","(448)","4.9787","On Etsy since 2016","I gladly accept returns and cancellations","3 days of delivery","1–2 business days","within a few hours."
TimsSecretTreasures,"194 Admirers","577 sales","(102)","5","On Etsy since 2014","I don't accept returns, exchanges, or cancellations","","3–5 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
WorldofBacara,"9162 Admirers","12,294 sales","(3192)","4.9329","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1 business day","within a few hours."
BASandstrom,"52 Admirers","78 sales","(20)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
allthebestvintage,"1241 Admirers","1,004 sales","(346)","4.875","On Etsy since 2010","I gladly accept exchanges","14 days of delivery","1–3 business days","within a few hours."
cvetishop,"224 Admirers","618 sales","(134)","4.9773","On Etsy since 2015","I gladly accept returns and exchanges","14 days of delivery","1 business day","within 24 hours."
frenchvintagehomes,"235 Admirers","138 sales","(18)","5","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
VintageSherman,"873 Admirers","3,312 sales","(902)","4.9559","On Etsy since 2014","","","1–3 business days","within a few hours."
AntiqueRevolutionLLC,"1292 Admirers","775 sales","(153)","4.9245","On Etsy since 2013","","","1–3 business days","within 24 hours."
LeGrenierdeSamFR,"80 Admirers","78 sales","(21)","4.9286","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
LoveToFeatherTheNest,"505 Admirers","625 sales","(288)","4.9804","On Etsy since 2011","","","1–3 business days","within 24 hours."
TheShopPDX,"106 Admirers","223 sales","(67)","5","On Etsy since 2016","","","","within a few hours."
CaraibConchPearls,"100 Admirers","10 sales","(1)","1","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
Treasures196217,"286 Admirers","1,405 sales","(379)","4.9859","On Etsy since 2013","I gladly accept returns","14 days of delivery","1–2 business days","within a few hours."
TheAtticTreasury,"175 Admirers","340 sales","(66)","5","On Etsy since 2016","I gladly accept returns and exchanges","7 days of delivery","1–3 business days","within a few hours."
CaraibConchPearls,"100 Admirers","10 sales","(1)","1","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
CaraibConchPearls,"100 Admirers","10 sales","(1)","1","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
WorldofBacara,"9162 Admirers","12,294 sales","(3192)","4.9329","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1 business day","within a few hours."
WarbleVintage,"13 Admirers","91 sales","(19)","5","On Etsy since 2019","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
PamsWayBackWhen,"222 Admirers","739 sales","(224)","5","On Etsy since 2015","I gladly accept returns","3 days of delivery","1–3 business days","within a few hours."
LiteraryAntiques,"244 Admirers","304 sales","(59)","3.8889","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
BeatifulVintage,"81 Admirers","113 sales","(13)","4.9231","On Etsy since 2018","","","1 business day","within a few hours."
thecherrychic,"10602 Admirers","25,726 sales","(9149)","4.9599","On Etsy since 2008","I gladly accept returns and exchanges","5 days of delivery","1–3 business days","within a few hours."
BukuVintage,"425 Admirers","354 sales","(83)","4.8","On Etsy since 2014","I gladly accept returns and exchanges","14 days of delivery","1–2 weeks","within a few hours."
EllisAntiques,"552 Admirers","827 sales","(227)","4.9255","On Etsy since 2010","I gladly accept returns and exchanges","5 days of delivery","1–2 business days","within a few hours."
DamnThatsFine,"177 Admirers","548 sales","(120)","4.6078","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within 24 hours."
theartfloozy,"9029 Admirers","44,024 sales","(17967)","4.9833","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","3–5 business days","within 24 hours."
theantiquarius,"160 Admirers","245 sales","(79)","4.9455","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
DogTrek,"28 Admirers","16 sales","(5)","5","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
shabbysweet,"389 Admirers","1,407 sales","(365)","4.9717","On Etsy since 2011","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
CnRCollectibles,"166 Admirers","816 sales","(134)","4.8621","On Etsy since 2015","I gladly accept returns and cancellations","5 days of delivery","1–3 business days","within 24 hours."
RetroplazaShop,"64 Admirers","47 sales","(14)","4.7143","On Etsy since 2019","","","1–3 business days","within a few hours."
Kitchawan49,"35 Admirers","92 sales","(20)","4.8824","On Etsy since 2017","","","3–5 business days","within 24 hours."
VintageIFind4U,"63 Admirers","97 sales","(22)","4.9545","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
AntiquePlovdiv,"404 Admirers","621 sales","(104)","4.9091","On Etsy since 2016","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within 24 hours."
ARTetMUSIC,"12 Admirers","8 sales","","","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
AwesomeVintageTees,"3211 Admirers","2,733 sales","(667)","4.8873","On Etsy since 2014","I gladly accept cancellations","1 hour of purchase","1 business day","within a few hours."
ARTetMUSIC,"12 Admirers","8 sales","","","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
cottageretro,"70 Admirers","321 sales","(80)","5","On Etsy since 2010","I gladly accept returns","14 days of delivery","1–7 business days","within a few hours."
WorldofBacara,"9162 Admirers","12,294 sales","(3192)","4.9329","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1 business day","within a few hours."
fonogramma,"2 Admirers","3 sales","","","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
FolkloreAndYore,"508 Admirers","840 sales","(267)","4.9848","On Etsy since 2013","","","1–2 business days",""
AaronsArtichokeAlley,"724 Admirers","1,673 sales","(412)","4.9787","On Etsy since 2013","I gladly accept returns","7 days of delivery","3–5 business days","within 24 hours."
modhuset,"108 Admirers","143 sales","(42)","5","On Etsy since 2019","I gladly accept returns","7 days of delivery","1–3 business days","within a few hours."
DorfsmithGifts,"169 Admirers","1,763 sales","(481)","4.9658","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","1 business day","within a few hours."
BONETOWNMUSIC,"1 Admirer","3 sales","(1)","5","On Etsy since 2020","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
AurielaArtistry,"81 Admirers","55 sales","(8)","5","On Etsy since 2018","","","1–3 business days","within a few hours."
OregonVintageReclaim,"103 Admirers","502 sales","(139)","4.9882","On Etsy since 2018","I gladly accept returns, exchanges, and cancellations","7 days of delivery","1 business day","within a few hours."
BONETOWNMUSIC,"1 Admirer","3 sales","(1)","5","On Etsy since 2020","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
BusStopVintageFinds,"116 Admirers","173 sales","(39)","4.9286","On Etsy since 2015","","","1–2 business days","within 24 hours."
GoingMarbyls,"76 Admirers","384 sales","(82)","4.9762","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
TsveteHeArt,"412 Admirers","919 sales","(162)","4.96","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
JoesVideoSpot,"136 Admirers","872 sales","(170)","4.9874","On Etsy since 2019","","","1–2 business days","within a few hours."
EclecticArtifactShop,"2 Admirers","8 sales","(2)","5","On Etsy since 2019","I gladly accept returns","3 days of delivery","1–3 business days",""
wilshepherd,"8006 Admirers","7,674 sales","(2707)","4.9554","On Etsy since 2009","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
jewelryandthings2,"6060 Admirers","5,856 sales","(1402)","4.9337","On Etsy since 2011","I gladly accept returns and exchanges","3 days of delivery","1–2 business days","within 24 hours."
RollingHillsVintage,"8447 Admirers","3,196 sales","(1723)","5","On Etsy since 2008","I gladly accept returns","5 days of delivery","1–2 business days","within a few hours."
PoorLittleRobin,"1505 Admirers","4,334 sales","(1165)","4.9409","On Etsy since 2011","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
MoonHuntToys,"122 Admirers","183 sales","(16)","4.875","On Etsy since 2019","I gladly accept returns and exchanges","3 days of delivery","4–6 weeks","within a few hours."
Bingville,"1533 Admirers","1,910 sales","(596)","4.9549","On Etsy since 2012","","","1–3 business days","within a few hours."
AntiqueShaty,"195 Admirers","258 sales","(49)","5","On Etsy since 2017","","","1–3 business days","within a few hours."
oxfordgrayvintage,"473 Admirers","659 sales","(155)","4.9647","On Etsy since 2018","I gladly accept returns","7 days of delivery","1–3 business days","within a few hours."
MoesGuitarsLLC,"2 Admirers","4 sales","","","On Etsy since 2019","I gladly accept exchanges and cancellations","3 days of delivery","1 business day",""
BrillianceWrought,"289 Admirers","278 sales","(60)","5","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 weeks","within a few hours."
KKJD1,"193 Admirers","645 sales","(225)","4.902","On Etsy since 2008","","","3–5 business days","within a few hours."
TheVintageofWorld,"287 Admirers","588 sales","(108)","4.62","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
VintageEndeavorsMT,"73 Admirers","394 sales","(99)","4.7742","On Etsy since 2017","","","","within 24 hours."
MyTimeToys,"250 Admirers","544 sales","(205)","5","On Etsy since 2015","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
Paladindream,"18 Admirers","19 sales","(1)","5","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
PilgrimsCottage,"25 Admirers","109 sales","(30)","5","On Etsy since 2017","","","3–5 business days","within 24 hours."
MarketFleaShop,"227 Admirers","461 sales","(107)","4.9153","On Etsy since 2017","","","1–3 business days","within a few hours."
MilkweedAntiques,"209 Admirers","402 sales","(164)","5","On Etsy since 2016","I gladly accept returns and exchanges","3 days of delivery","1–2 business days","within a few hours."
SilverliningByTravis,"852 Admirers","6,143 sales","(1380)","4.9477","On Etsy since 2016","I gladly accept returns and cancellations","14 days of delivery","1–3 business days","within 24 hours."
RareMexicanAztecArt,"293 Admirers","423 sales","(93)","4.9318","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
HoundTales,"436 Admirers","1,413 sales","(368)","4.974","On Etsy since 2013","I gladly accept returns","5 days of delivery","1–2 business days","within 24 hours."
YellowDogAntiques,"532 Admirers","1,774 sales","(525)","4.976","On Etsy since 2015","","","1–3 business days","within a few hours."
bohokyo,"273 Admirers","66 sales","","1","On Etsy since 2009","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
ShelbyTradingCompany,"677 Admirers","1,003 sales","(236)","4.8462","On Etsy since 2012","I gladly accept returns","7 days of delivery","1–3 business days","within 24 hours."
605shopping,"16 Admirers","66 sales","(11)","4","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
KingsMusicNBooks,"332 Admirers","817 sales","(167)","5","On Etsy since 2015","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
ParkwoodTreasures,"1112 Admirers","3,234 sales","(1016)","4.979","On Etsy since 2016","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
WelshHeirlooms,"1067 Admirers","2,820 sales","(800)","4.8224","On Etsy since 2015","I gladly accept returns","14 days of delivery","3–5 business days","within 24 hours."
BrooklynStVintage,"3243 Admirers","1,591 sales","(508)","4.9545","On Etsy since 2010","I gladly accept returns and cancellations","3 days of delivery","1–3 business days","within a few hours."
PapasanVintage,"","","","","On Etsy since 2020","","","1–3 business days",""
PapasanVintage,"","","","","On Etsy since 2020","","","1–3 business days",""
PapasanVintage,"","","","","On Etsy since 2020","","","1–3 business days",""
MontebelloRoad,"51 Admirers","88 sales","(1)","5","On Etsy since 2019","","","1–2 business days","within a few hours."
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
PapasanVintage,"","","","","On Etsy since 2020","","","1–3 business days",""
PapasanVintage,"","","","","On Etsy since 2020","","","1–3 business days",""
seekersandfinders,"58 Admirers","154 sales","(20)","4.2857","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
Buddhagal,"1470 Admirers","3,186 sales","(907)","4.956","On Etsy since 2011","I gladly accept cancellations","6 hours of purchase","1–3 business days","within a few hours."
ThreeRowdyRavens,"14 Admirers","92 sales","(22)","5","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
MadGlowVintage,"470 Admirers","682 sales","(172)","4.96","On Etsy since 2017","I gladly accept cancellations","before item has shipped","1–3 business days","within 24 hours."
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
BeautifulBitsAndMore,"54 Admirers","78 sales","(18)","5","On Etsy since 2019","I gladly accept exchanges","7 days of delivery","1 business day","within a few hours."
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
MusicCupboard,"45 Admirers","6 sales","","5","On Etsy since 2017","I gladly accept returns","7 days of delivery","1–3 business days",""
GeekOutBooks,"18 Admirers","62 sales","(14)","5","On Etsy since 2019","","","3–5 business days","within a few hours."
Backtothepastussr,"561 Admirers","633 sales","(164)","4.9068","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
inkfinesse,"1249 Admirers","1,670 sales","(651)","4.8148","On Etsy since 2007","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
SwedeFinds,"324 Admirers","443 sales","(143)","4.9825","On Etsy since 2018","I gladly accept returns","14 days of delivery","1–2 business days","within a few hours."
GardenGirlVintage,"1089 Admirers","2,172 sales","(561)","4.9672","On Etsy since 2011","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1–2 business days","within a few hours."
TrueColorMemories,"46 Admirers","202 sales","(49)","4.95","On Etsy since 2016","","","3–5 business days","within 24 hours."
BitterSweetRidgeLLC,"464 Admirers","2,510 sales","(630)","4.9754","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
GuitarsWantedNow,"52 Admirers","23 sales","(3)","5","On Etsy since 2018","I gladly accept cancellations","1 hour of purchase","1 business day","within a few hours."
CreationsOfOlde,"323 Admirers","334 sales","(65)","4.9375","On Etsy since 2015","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
LoveMyThingsBoutique,"50 Admirers","239 sales","(69)","4.9848","On Etsy since 2016","I gladly accept returns","5 days of delivery","1–2 business days","within a few hours."
WorldofBacara,"9162 Admirers","12,294 sales","(3192)","4.9329","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1 business day","within a few hours."
Brightdaisydays,"1752 Admirers","6,054 sales","(1995)","4.9574","On Etsy since 2009","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
DejaVuShopGifts,"74 Admirers","257 sales","(51)","4.902","On Etsy since 2019","","","1–3 business days","within a few hours."
TheVintageEurope,"3403 Admirers","4,834 sales","(1014)","4.9112","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
IncredibleShakuhachi,"13 Admirers","20 sales","(1)","5","On Etsy since 2020","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
southseapearlco,"58 Admirers","70 sales","(18)","4.6364","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1–2 business days",""
VintThor,"580 Admirers","935 sales","(250)","4.6842","On Etsy since 2010","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within 24 hours."
PicklesPicksPlus,"66 Admirers","114 sales","(34)","4.8788","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1 business day","within a few hours."
IncredibleShakuhachi,"13 Admirers","20 sales","(1)","5","On Etsy since 2020","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
IncredibleShakuhachi,"13 Admirers","20 sales","(1)","5","On Etsy since 2020","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
IncredibleShakuhachi,"13 Admirers","20 sales","(1)","5","On Etsy since 2020","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
ShabbyFrenchShack,"2009 Admirers","2,895 sales","(748)","4.9505","On Etsy since 2012","I gladly accept exchanges","3 days of delivery","1–3 business days","within a few hours."
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
TheOldTimeTreasures,"203 Admirers","355 sales","(54)","4.9048","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","5 days of delivery","1–3 business days","within a few hours."
MoreUnusualTheBetter,"707 Admirers","2,143 sales","(662)","4.9252","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
awildtonic,"1540 Admirers","1,746 sales","(671)","4.973","On Etsy since 2010","I gladly accept returns","14 days of delivery","1–3 business days",""
TheGayDivorcee,"798 Admirers","1,938 sales","(457)","4.9483","On Etsy since 2013","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
zografa,"1125 Admirers","1,232 sales","(314)","4.9038","On Etsy since 2014","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
southseapearlco,"58 Admirers","70 sales","(18)","4.6364","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1–2 business days",""
WorldofBacara,"9162 Admirers","12,294 sales","(3192)","4.9329","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1 business day","within a few hours."
AntiqueBoutiqDesigns,"","","","","On Etsy since 2020","","","1 business day",""
MontageDecor,"1072 Admirers","1,293 sales","(317)","5","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","1 business day","within a few hours."
SophiaMariaJewelry,"172 Admirers","167 sales","(40)","4.9167","On Etsy since 2010","I gladly accept returns and exchanges","7 days of delivery","1–2 weeks","within 24 hours."
ARoadThroughTime,"4471 Admirers","5,021 sales","(1063)","4.8889","On Etsy since 2012","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within 24 hours."
PicklesPicksPlus,"66 Admirers","114 sales","(34)","4.8788","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1 business day","within a few hours."
BurgessArtGallery,"15 Admirers","2 sales","","1","On Etsy since 2017","","","1–3 business days",""
KnifeShamanArtWork,"10 Admirers","5 sales","(2)","5","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
VintageandChicFinds,"259 Admirers","753 sales","(199)","4.9375","On Etsy since 2017","I gladly accept returns and cancellations","3 days of delivery","1–3 business days","within a few hours."
